ratio,mean_Nt,std_Nt,mean_F0
0.01,1006.09,15.3412,993
0.02,1958.16,39.086,1976
0.03,2992.02,68.3382,2952.6
0.04,3937.73,82.3251,3922.2
0.05,4947.29,49.9192,4890.2
0.1,9543.91,339.239,9712.4
0.15,14349.4,377.1,14526.2
0.2,19218.6,497.857,19343.4
0.25,24157.3,456.791,24140.2
0.3,28726,893.033,28940.6
0.35,33493.1,1054.73,33734
0.4,38534.5,919.309,38525.6
0.45,43636.9,1236.4,43299.6
0.5,47919.8,1277.2,48080.4
0.55,52868.3,1590.16,52853.4
0.6,57474.1,1523.77,57619.8
0.65,61639.9,2134.08,62377.4
0.7,67115.2,2173.43,67130.4
0.75,71548.3,2712.49,71886.6
0.8,75477.9,3491.53,76627.8
0.85,80846.5,3472.47,81369.6
0.9,86996.4,3586.08,86108
0.95,91185.9,3677.95,90846.2
1,95837.7,4235.95,95579.4
